"varname","shortdesc","shrtname","longname","version","shrtcite","longcite","url"
"family_upgraded1","Family version of the respective variable described above","EPR","Ethnic Power-Relations Dataset","v2021","Vogt et al. (2015)","Vogt, M., N.-C. Bormann, S. Ruegger, L.-E. Cederman, P. Hunziker, and L. Girardin. (2015). Integrating Data on Ethnicity, Geography, and Conflict: The Ethnic Power Relations Dataset Family. Journal of Conflict Resolution 59 (7).","http://www.icr.ethz.ch/data"
"family_upgraded_excl1","Family version of the respective variable described above","EPR","Ethnic Power-Relations Dataset","v2021","Vogt et al. (2015)","Vogt, M., N.-C. Bormann, S. Ruegger, L.-E. Cederman, P. Hunziker, and L. Girardin. (2015). Integrating Data on Ethnicity, Geography, and Conflict: The Ethnic Power Relations Dataset Family. Journal of Conflict Resolution 59 (7).","http://www.icr.ethz.ch/data"
"family_upgraded_regaut1","Family version of the respective variable described above","EPR","Ethnic Power-Relations Dataset","v2021","Vogt et al. (2015)","Vogt, M., N.-C. Bormann, S. Ruegger, L.-E. Cederman, P. Hunziker, and L. Girardin. (2015). Integrating Data on Ethnicity, Geography, and Conflict: The Ethnic Power Relations Dataset Family. Journal of Conflict Resolution 59 (7).","http://www.icr.ethz.ch/data"
"family_downgraded2","Family version of the respective variable described above","EPR","Ethnic Power-Relations Dataset","v2021","Vogt et al. (2015)","Vogt, M., N.-C. Bormann, S. Ruegger, L.-E. Cederman, P. Hunziker, and L. Girardin. (2015). Integrating Data on Ethnicity, Geography, and Conflict: The Ethnic Power Relations Dataset Family. Journal of Conflict Resolution 59 (7).","http://www.icr.ethz.ch/data"
"family_downgraded_excl2","Family version of the respective variable described above","EPR","Ethnic Power-Relations Dataset","v2021","Vogt et al. (2015)","Vogt, M., N.-C. Bormann, S. Ruegger, L.-E. Cederman, P. Hunziker, and L. Girardin. (2015). Integrating Data on Ethnicity, Geography, and Conflict: The Ethnic Power Relations Dataset Family. Journal of Conflict Resolution 59 (7).","http://www.icr.ethz.ch/data"
"family_downgraded_regaut2","Family version of the respective variable described above","EPR","Ethnic Power-Relations Dataset","v2021","Vogt et al. (2015)","Vogt, M., N.-C. Bormann, S. Ruegger, L.-E. Cederman, P. Hunziker, and L. Girardin. (2015). Integrating Data on Ethnicity, Geography, and Conflict: The Ethnic Power Relations Dataset Family. Journal of Conflict Resolution 59 (7).","http://www.icr.ethz.ch/data"
"family_upgraded2","Family version of the respective variable described above","EPR","Ethnic Power-Relations Dataset","v2021","Vogt et al. (2015)","Vogt, M., N.-C. Bormann, S. Ruegger, L.-E. Cederman, P. Hunziker, and L. Girardin. (2015). Integrating Data on Ethnicity, Geography, and Conflict: The Ethnic Power Relations Dataset Family. Journal of Conflict Resolution 59 (7).","http://www.icr.ethz.ch/data"
"family_upgraded_excl2","Family version of the respective variable described above","EPR","Ethnic Power-Relations Dataset","v2021","Vogt et al. (2015)","Vogt, M., N.-C. Bormann, S. Ruegger, L.-E. Cederman, P. Hunziker, and L. Girardin. (2015). Integrating Data on Ethnicity, Geography, and Conflict: The Ethnic Power Relations Dataset Family. Journal of Conflict Resolution 59 (7).","http://www.icr.ethz.ch/data"
"family_upgraded_regaut2","Family version of the respective variable described above","EPR","Ethnic Power-Relations Dataset","v2021","Vogt et al. (2015)","Vogt, M., N.-C. Bormann, S. Ruegger, L.-E. Cederman, P. Hunziker, and L. Girardin. (2015). Integrating Data on Ethnicity, Geography, and Conflict: The Ethnic Power Relations Dataset Family. Journal of Conflict Resolution 59 (7).","http://www.icr.ethz.ch/data"
"family_downgraded5","Family version of the respective variable described above","EPR","Ethnic Power-Relations Dataset","v2021","Vogt et al. (2015)","Vogt, M., N.-C. Bormann, S. Ruegger, L.-E. Cederman, P. Hunziker, and L. Girardin. (2015). Integrating Data on Ethnicity, Geography, and Conflict: The Ethnic Power Relations Dataset Family. Journal of Conflict Resolution 59 (7).","http://www.icr.ethz.ch/data"
"family_downgraded_excl5","Family version of the respective variable described above","EPR","Ethnic Power-Relations Dataset","v2021","Vogt et al. (2015)","Vogt, M., N.-C. Bormann, S. Ruegger, L.-E. Cederman, P. Hunziker, and L. Girardin. (2015). Integrating Data on Ethnicity, Geography, and Conflict: The Ethnic Power Relations Dataset Family. Journal of Conflict Resolution 59 (7).","http://www.icr.ethz.ch/data"
"family_downgraded_regaut5","Family version of the respective variable described above","EPR","Ethnic Power-Relations Dataset","v2021","Vogt et al. (2015)","Vogt, M., N.-C. Bormann, S. Ruegger, L.-E. Cederman, P. Hunziker, and L. Girardin. (2015). Integrating Data on Ethnicity, Geography, and Conflict: The Ethnic Power Relations Dataset Family. Journal of Conflict Resolution 59 (7).","http://www.icr.ethz.ch/data"
"family_upgraded5","Family version of the respective variable described above","EPR","Ethnic Power-Relations Dataset","v2021","Vogt et al. (2015)","Vogt, M., N.-C. Bormann, S. Ruegger, L.-E. Cederman, P. Hunziker, and L. Girardin. (2015). Integrating Data on Ethnicity, Geography, and Conflict: The Ethnic Power Relations Dataset Family. Journal of Conflict Resolution 59 (7).","http://www.icr.ethz.ch/data"
"family_upgraded_excl5","Family version of the respective variable described above","EPR","Ethnic Power-Relations Dataset","v2021","Vogt et al. (2015)","Vogt, M., N.-C. Bormann, S. Ruegger, L.-E. Cederman, P. Hunziker, and L. Girardin. (2015). Integrating Data on Ethnicity, Geography, and Conflict: The Ethnic Power Relations Dataset Family. Journal of Conflict Resolution 59 (7).","http://www.icr.ethz.ch/data"
"family_upgraded_regaut5","Family version of the respective variable described above","EPR","Ethnic Power-Relations Dataset","v2021","Vogt et al. (2015)","Vogt, M., N.-C. Bormann, S. Ruegger, L.-E. Cederman, P. Hunziker, and L. Girardin. (2015). Integrating Data on Ethnicity, Geography, and Conflict: The Ethnic Power Relations Dataset Family. Journal of Conflict Resolution 59 (7).","http://www.icr.ethz.ch/data"
"family_downgraded10","Family version of the respective variable described above","EPR","Ethnic Power-Relations Dataset","v2021","Vogt et al. (2015)","Vogt, M., N.-C. Bormann, S. Ruegger, L.-E. Cederman, P. Hunziker, and L. Girardin. (2015). Integrating Data on Ethnicity, Geography, and Conflict: The Ethnic Power Relations Dataset Family. Journal of Conflict Resolution 59 (7).","http://www.icr.ethz.ch/data"
"family_downgraded_excl10","Family version of the respective variable described above","EPR","Ethnic Power-Relations Dataset","v2021","Vogt et al. (2015)","Vogt, M., N.-C. Bormann, S. Ruegger, L.-E. Cederman, P. Hunziker, and L. Girardin. (2015). Integrating Data on Ethnicity, Geography, and Conflict: The Ethnic Power Relations Dataset Family. Journal of Conflict Resolution 59 (7).","http://www.icr.ethz.ch/data"
"family_downgraded_regaut10","Family version of the respective variable described above","EPR","Ethnic Power-Relations Dataset","v2021","Vogt et al. (2015)","Vogt, M., N.-C. Bormann, S. Ruegger, L.-E. Cederman, P. Hunziker, and L. Girardin. (2015). Integrating Data on Ethnicity, Geography, and Conflict: The Ethnic Power Relations Dataset Family. Journal of Conflict Resolution 59 (7).","http://www.icr.ethz.ch/data"
"family_upgraded10","Family version of the respective variable described above","EPR","Ethnic Power-Relations Dataset","v2021","Vogt et al. (2015)","Vogt, M., N.-C. Bormann, S. Ruegger, L.-E. Cederman, P. Hunziker, and L. Girardin. (2015). Integrating Data on Ethnicity, Geography, and Conflict: The Ethnic Power Relations Dataset Family. Journal of Conflict Resolution 59 (7).","http://www.icr.ethz.ch/data"
"family_upgraded_excl10","Family version of the respective variable described above","EPR","Ethnic Power-Relations Dataset","v2021","Vogt et al. (2015)","Vogt, M., N.-C. Bormann, S. Ruegger, L.-E. Cederman, P. Hunziker, and L. Girardin. (2015). Integrating Data on Ethnicity, Geography, and Conflict: The Ethnic Power Relations Dataset Family. Journal of Conflict Resolution 59 (7).","http://www.icr.ethz.ch/data"
"family_upgraded_regaut10","Family version of the respective variable described above","EPR","Ethnic Power-Relations Dataset","v2021","Vogt et al. (2015)","Vogt, M., N.-C. Bormann, S. Ruegger, L.-E. Cederman, P. Hunziker, and L. Girardin. (2015). Integrating Data on Ethnicity, Geography, and Conflict: The Ethnic Power Relations Dataset Family. Journal of Conflict Resolution 59 (7).","http://www.icr.ethz.ch/data"
"family_isrelevant","Family version of the respective variable described above","EPR","Ethnic Power-Relations Dataset","v2021","Vogt et al. (2015)","Vogt, M., N.-C. Bormann, S. Ruegger, L.-E. Cederman, P. Hunziker, and L. Girardin. (2015). Integrating Data on Ethnicity, Geography, and Conflict: The Ethnic Power Relations Dataset Family. Journal of Conflict Resolution 59 (7).","http://www.icr.ethz.ch/data"
"active_anc_groupid","String indicating groupid of currently active ancestor of this group","EPR","Ethnic Power-Relations Dataset","v2021","Vogt et al. (2015)","Vogt, M., N.-C. Bormann, S. Ruegger, L.-E. Cederman, P. Hunziker, and L. Girardin. (2015). Integrating Data on Ethnicity, Geography, and Conflict: The Ethnic Power Relations Dataset Family. Journal of Conflict Resolution 59 (7).","http://www.icr.ethz.ch/data"
"active_des_groupid_arr","String indicating comma-separated groupids of currently active descendants of this group","EPR","Ethnic Power-Relations Dataset","v2021","Vogt et al. (2015)","Vogt, M., N.-C. Bormann, S. Ruegger, L.-E. Cederman, P. Hunziker, and L. Girardin. (2015). Integrating Data on Ethnicity, Geography, and Conflict: The Ethnic Power Relations Dataset Family. Journal of Conflict Resolution 59 (7).","http://www.icr.ethz.ch/data"
"relevant_anc_groupid","String indicating groupid of currently relevant ancestor of this group","EPR","Ethnic Power-Relations Dataset","v2021","Vogt et al. (2015)","Vogt, M., N.-C. Bormann, S. Ruegger, L.-E. Cederman, P. Hunziker, and L. Girardin. (2015). Integrating Data on Ethnicity, Geography, and Conflict: The Ethnic Power Relations Dataset Family. Journal of Conflict Resolution 59 (7).","http://www.icr.ethz.ch/data"
"relevant_des_groupid_arr","String indicating comma-separated groupids of currently relevant descendants of this group","EPR","Ethnic Power-Relations Dataset","v2021","Vogt et al. (2015)","Vogt, M., N.-C. Bormann, S. Ruegger, L.-E. Cederman, P. Hunziker, and L. Girardin. (2015). Integrating Data on Ethnicity, Geography, and Conflict: The Ethnic Power Relations Dataset Family. Journal of Conflict Resolution 59 (7).","http://www.icr.ethz.ch/data"
"geo_typeid","GeoEPR 2014 settlement type ID.","GEOEPR","GeoEPR Dataset","v2021","Wucherpfennig et al. (2011)","Wucherpfennig, J., N. B.Weidmann, L. Girardin, L.-E. Cederman, and A. Wimmer (2011). Politically relevant ethnic groups across space and time: Introducing the GeoEPR dataset. Conflict Management and Peace Science 28 (5).","http://www.icr.ethz.ch/data"
"geo_typename","GeoEPR 2014 settlement type name.","GEOEPR","GeoEPR Dataset","v2021","Wucherpfennig et al. (2011)","Wucherpfennig, J., N. B.Weidmann, L. Girardin, L.-E. Cederman, and A. Wimmer (2011). Politically relevant ethnic groups across space and time: Introducing the GeoEPR dataset. Conflict Management and Peace Science 28 (5).","http://www.icr.ethz.ch/data"
"geo_concentrated","Binary flag indicating whether group's settlement area is concentrated within its host country's territory.","GEOEPR","GeoEPR Dataset","v2021","Wucherpfennig et al. (2011)","Wucherpfennig, J., N. B.Weidmann, L. Girardin, L.-E. Cederman, and A. Wimmer (2011). Politically relevant ethnic groups across space and time: Introducing the GeoEPR dataset. Conflict Management and Peace Science 28 (5).","http://www.icr.ethz.ch/data"
"geo_statewide","Binary flag indicating whether group's settlement area is statewide.","GEOEPR","GeoEPR Dataset","v2021","Wucherpfennig et al. (2011)","Wucherpfennig, J., N. B.Weidmann, L. Girardin, L.-E. Cederman, and A. Wimmer (2011). Politically relevant ethnic groups across space and time: Introducing the GeoEPR dataset. Conflict Management and Peace Science 28 (5).","http://www.icr.ethz.ch/data"
"geo_urban","Binary flag indicating whether group's settlement area is urban.","GEOEPR","GeoEPR Dataset","v2021","Wucherpfennig et al. (2011)","Wucherpfennig, J., N. B.Weidmann, L. Girardin, L.-E. Cederman, and A. Wimmer (2011). Politically relevant ethnic groups across space and time: Introducing the GeoEPR dataset. Conflict Management and Peace Science 28 (5).","http://www.icr.ethz.ch/data"
"geo_migrant","Binary flag indicating whether group's settlement area is migrant.","GEOEPR","GeoEPR Dataset","v2021","Wucherpfennig et al. (2011)","Wucherpfennig, J., N. B.Weidmann, L. Girardin, L.-E. Cederman, and A. Wimmer (2011). Politically relevant ethnic groups across space and time: Introducing the GeoEPR dataset. Conflict Management and Peace Science 28 (5).","http://www.icr.ethz.ch/data"
"geo_dispersed","Binary flag indicating whether group's settlement area is dispersed.","GEOEPR","GeoEPR Dataset","v2021","Wucherpfennig et al. (2011)","Wucherpfennig, J., N. B.Weidmann, L. Girardin, L.-E. Cederman, and A. Wimmer (2011). Politically relevant ethnic groups across space and time: Introducing the GeoEPR dataset. Conflict Management and Peace Science 28 (5).","http://www.icr.ethz.ch/data"
"geo_unknown","Binary flag indicating whether group's settlement area is unknown.","GEOEPR","GeoEPR Dataset","v2021","Wucherpfennig et al. (2011)","Wucherpfennig, J., N. B.Weidmann, L. Girardin, L.-E. Cederman, and A. Wimmer (2011). Politically relevant ethnic groups across space and time: Introducing the GeoEPR dataset. Conflict Management and Peace Science 28 (5).","http://www.icr.ethz.ch/data"
"ggp_startdate","Start-date of GeoEPR episode corresponding to this group-year.","GEOEPR","GeoEPR Dataset","v2021","Wucherpfennig et al. (2011)","Wucherpfennig, J., N. B.Weidmann, L. Girardin, L.-E. Cederman, and A. Wimmer (2011). Politically relevant ethnic groups across space and time: Introducing the GeoEPR dataset. Conflict Management and Peace Science 28 (5).","http://www.icr.ethz.ch/data"
"ggp_enddate","End-date of GeoEPR episode corresponding to this group-year.","GEOEPR","GeoEPR Dataset","v2021","Wucherpfennig et al. (2011)","Wucherpfennig, J., N. B.Weidmann, L. Girardin, L.-E. Cederman, and A. Wimmer (2011). Politically relevant ethnic groups across space and time: Introducing the GeoEPR dataset. Conflict Management and Peace Science 28 (5).","http://www.icr.ethz.ch/data"
"area_sqkm","Group's settlement area in square kilometers (derived from GeoEPR).","GEOEPR","GeoEPR Dataset","v2021","Wucherpfennig et al. (2011)","Wucherpfennig, J., N. B.Weidmann, L. Girardin, L.-E. Cederman, and A. Wimmer (2011). Politically relevant ethnic groups across space and time: Introducing the GeoEPR dataset. Conflict Management and Peace Science 28 (5).","http://www.icr.ethz.ch/data"
"pop90_total","Group's population in 1990; derived by GeoEPR/CIESIN GRUMPv1 overlay. All population within group polygon is summed.","GRUMP","Global Rural Urban Mapping Project","v1","CIESIN (2011)","Center for International Earth Science Information Network - CIESIN - Columbia University, International Food Policy Research Institute - IFPRI, The World Bank, and Centro Internacional de Agricultura Tropical – CIAT (2011). Global Rural-Urban Mapping Project, Version 1 (GRUMPv1): Population Count Grid. Palisades, NY: NASA Socioeconomic Data and Applications Center (SEDAC).","http://sedac.ciesin.columbia.edu/"
"pop90_total","Group's population in 1990; derived by GeoEPR/CIESIN GRUMPv1 overlay. All population within group polygon is summed.","GEOEPR","GeoEPR Dataset","v2021","Wucherpfennig et al. (2011)","Wucherpfennig, J., N. B.Weidmann, L. Girardin, L.-E. Cederman, and A. Wimmer (2011). Politically relevant ethnic groups across space and time: Introducing the GeoEPR dataset. Conflict Management and Peace Science 28 (5).","http://www.icr.ethz.ch/data"
"pop90_corr","Group's population in 1990; derived by GeoEPR/CIESIN GRUMPv1 overlay. Population intersecting with multiple polygons is divided evenly.","GRUMP","Global Rural Urban Mapping Project","v1","CIESIN (2011)","Center for International Earth Science Information Network - CIESIN - Columbia University, International Food Policy Research Institute - IFPRI, The World Bank, and Centro Internacional de Agricultura Tropical – CIAT (2011). Global Rural-Urban Mapping Project, Version 1 (GRUMPv1): Population Count Grid. Palisades, NY: NASA Socioeconomic Data and Applications Center (SEDAC).","http://sedac.ciesin.columbia.edu/"
"pop90_corr","Group's population in 1990; derived by GeoEPR/CIESIN GRUMPv1 overlay. Population intersecting with multiple polygons is divided evenly.","GEOEPR","GeoEPR Dataset","v2021","Wucherpfennig et al. (2011)","Wucherpfennig, J., N. B.Weidmann, L. Girardin, L.-E. Cederman, and A. Wimmer (2011). Politically relevant ethnic groups across space and time: Introducing the GeoEPR dataset. Conflict Management and Peace Science 28 (5).","http://www.icr.ethz.ch/data"
"pop00_total","Group's population in 2000; derived by GeoEPR/CIESIN GRUMPv1 overlay. All population within group polygon is summed.","GRUMP","Global Rural Urban Mapping Project","v1","CIESIN (2011)","Center for International Earth Science Information Network - CIESIN - Columbia University, International Food Policy Research Institute - IFPRI, The World Bank, and Centro Internacional de Agricultura Tropical – CIAT (2011). Global Rural-Urban Mapping Project, Version 1 (GRUMPv1): Population Count Grid. Palisades, NY: NASA Socioeconomic Data and Applications Center (SEDAC).","http://sedac.ciesin.columbia.edu/"
"pop00_total","Group's population in 2000; derived by GeoEPR/CIESIN GRUMPv1 overlay. All population within group polygon is summed.","GEOEPR","GeoEPR Dataset","v2021","Wucherpfennig et al. (2011)","Wucherpfennig, J., N. B.Weidmann, L. Girardin, L.-E. Cederman, and A. Wimmer (2011). Politically relevant ethnic groups across space and time: Introducing the GeoEPR dataset. Conflict Management and Peace Science 28 (5).","http://www.icr.ethz.ch/data"
"pop00_corr","Group's population in 2000; derived by GeoEPR/CIESIN GRUMPv1 overlay. Population intersecting with multiple polygons is divided evenly.","GRUMP","Global Rural Urban Mapping Project","v1","CIESIN (2011)","Center for International Earth Science Information Network - CIESIN - Columbia University, International Food Policy Research Institute - IFPRI, The World Bank, and Centro Internacional de Agricultura Tropical – CIAT (2011). Global Rural-Urban Mapping Project, Version 1 (GRUMPv1): Population Count Grid. Palisades, NY: NASA Socioeconomic Data and Applications Center (SEDAC).","http://sedac.ciesin.columbia.edu/"
"pop00_corr","Group's population in 2000; derived by GeoEPR/CIESIN GRUMPv1 overlay. Population intersecting with multiple polygons is divided evenly.","GEOEPR","GeoEPR Dataset","v2021","Wucherpfennig et al. (2011)","Wucherpfennig, J., N. B.Weidmann, L. Girardin, L.-E. Cederman, and A. Wimmer (2011). Politically relevant ethnic groups across space and time: Introducing the GeoEPR dataset. Conflict Management and Peace Science 28 (5).","http://www.icr.ethz.ch/data"
"pop10_total","Group's population in 2010;  derived by GeoEPR/CIESIN GRUMPv1 overlay. All population within group polygon is summed.","GRUMP","Global Rural Urban Mapping Project","v1","CIESIN (2011)","Center for International Earth Science Information Network - CIESIN - Columbia University, International Food Policy Research Institute - IFPRI, The World Bank, and Centro Internacional de Agricultura Tropical – CIAT (2011). Global Rural-Urban Mapping Project, Version 1 (GRUMPv1): Population Count Grid. Palisades, NY: NASA Socioeconomic Data and Applications Center (SEDAC).","http://sedac.ciesin.columbia.edu/"
"pop10_total","Group's population in 2010;  derived by GeoEPR/CIESIN GRUMPv1 overlay. All population within group polygon is summed.","GEOEPR","GeoEPR Dataset","v2021","Wucherpfennig et al. (2011)","Wucherpfennig, J., N. B.Weidmann, L. Girardin, L.-E. Cederman, and A. Wimmer (2011). Politically relevant ethnic groups across space and time: Introducing the GeoEPR dataset. Conflict Management and Peace Science 28 (5).","http://www.icr.ethz.ch/data"
"pop10_corr","Group's population in 2010; derived by GeoEPR/CIESIN GRUMPv1 overlay. Population intersecting with multiple polygons is divided evenly.","GRUMP","Global Rural Urban Mapping Project","v1","CIESIN (2011)","Center for International Earth Science Information Network - CIESIN - Columbia University, International Food Policy Research Institute - IFPRI, The World Bank, and Centro Internacional de Agricultura Tropical – CIAT (2011). Global Rural-Urban Mapping Project, Version 1 (GRUMPv1): Population Count Grid. Palisades, NY: NASA Socioeconomic Data and Applications Center (SEDAC).","http://sedac.ciesin.columbia.edu/"
"pop10_corr","Group's population in 2010; derived by GeoEPR/CIESIN GRUMPv1 overlay. Population intersecting with multiple polygons is divided evenly.","GEOEPR","GeoEPR Dataset","v2021","Wucherpfennig et al. (2011)","Wucherpfennig, J., N. B.Weidmann, L. Girardin, L.-E. Cederman, and A. Wimmer (2011). Politically relevant ethnic groups across space and time: Introducing the GeoEPR dataset. Conflict Management and Peace Science 28 (5).","http://www.icr.ethz.ch/data"
"nightlight_total","Stable nightlight emissions in group polygon; derived by GeoEPR/DMSP-OLS overlay. All nightlights within group polygon are summed.","GEOEPR","GeoEPR Dataset","v2021","Wucherpfennig et al. (2011)","Wucherpfennig, J., N. B.Weidmann, L. Girardin, L.-E. Cederman, and A. Wimmer (2011). Politically relevant ethnic groups across space and time: Introducing the GeoEPR dataset. Conflict Management and Peace Science 28 (5).","http://www.icr.ethz.ch/data"
"nightlight_total","Stable nightlight emissions in group polygon; derived by GeoEPR/DMSP-OLS overlay. All nightlights within group polygon are summed.","DMSP","DMSP-OLS Nighttime Lights Time Series (Average Visible, Stable Lights, & Cloud Free Coverages)","v4","NOAA (2014)","Image and data processing by NOAA's National Geophysical Data Center. DMSP data collected by US Air Force Weather Agency.","http://ngdc.noaa.gov/eog/dmsp.html"
"nightlight_corr","Stable nightlight emissions in group polygon; derived by GeoEPR/DMSP-OLS overlay. Nightlights intersecting with multiple polygons are divided evenly.","DMSP","DMSP-OLS Nighttime Lights Time Series (Average Visible, Stable Lights, & Cloud Free Coverages)","v4","NOAA (2014)","Image and data processing by NOAA's National Geophysical Data Center. DMSP data collected by US Air Force Weather Agency.","http://ngdc.noaa.gov/eog/dmsp.html"
"nightlight_corr","Stable nightlight emissions in group polygon; derived by GeoEPR/DMSP-OLS overlay. Nightlights intersecting with multiple polygons are divided evenly.","GEOEPR","GeoEPR Dataset","v2021","Wucherpfennig et al. (2011)","Wucherpfennig, J., N. B.Weidmann, L. Girardin, L.-E. Cederman, and A. Wimmer (2011). Politically relevant ethnic groups across space and time: Introducing the GeoEPR dataset. Conflict Management and Peace Science 28 (5).","http://www.icr.ethz.ch/data"
"gdp90_total","Group's contribution to host country's GDP in 1990; derived by GeoEPR/G-Econ overlay. All gross cell product within group polygon is summed.","GEOEPR","GeoEPR Dataset","v2021","Wucherpfennig et al. (2011)","Wucherpfennig, J., N. B.Weidmann, L. Girardin, L.-E. Cederman, and A. Wimmer (2011). Politically relevant ethnic groups across space and time: Introducing the GeoEPR dataset. Conflict Management and Peace Science 28 (5).","http://www.icr.ethz.ch/data"
"gdp90_total","Group's contribution to host country's GDP in 1990; derived by GeoEPR/G-Econ overlay. All gross cell product within group polygon is summed.","GECON","G-Econ","v4","Nordhaus et al. (2006)","Nordhaus, W., Azam, Q., Corderi, D., Hood, K., Victor, N. M., Mohammed, M., and Weiss, J. (2006). The G-Econ database on gridded output: methods and data. Yale University, New Haven.","http://gecon.yale.edu"
"gdp90_corr","Group's contribution to host country's GDP in 1990; derived by GeoEPR/G-Econ overlay. Gross cell product intersecting with multiple polygons is divided evenly.","GECON","G-Econ","v4","Nordhaus et al. (2006)","Nordhaus, W., Azam, Q., Corderi, D., Hood, K., Victor, N. M., Mohammed, M., and Weiss, J. (2006). The G-Econ database on gridded output: methods and data. Yale University, New Haven.","http://gecon.yale.edu"
"gdp90_corr","Group's contribution to host country's GDP in 1990; derived by GeoEPR/G-Econ overlay. Gross cell product intersecting with multiple polygons is divided evenly.","GEOEPR","GeoEPR Dataset","v2021","Wucherpfennig et al. (2011)","Wucherpfennig, J., N. B.Weidmann, L. Girardin, L.-E. Cederman, and A. Wimmer (2011). Politically relevant ethnic groups across space and time: Introducing the GeoEPR dataset. Conflict Management and Peace Science 28 (5).","http://www.icr.ethz.ch/data"
"gdp95_total","Group's contribution to host country's GDP in 1995; derived by GeoEPR/G-Econ overlay. All gross cell product within group polygon is summed.","GEOEPR","GeoEPR Dataset","v2021","Wucherpfennig et al. (2011)","Wucherpfennig, J., N. B.Weidmann, L. Girardin, L.-E. Cederman, and A. Wimmer (2011). Politically relevant ethnic groups across space and time: Introducing the GeoEPR dataset. Conflict Management and Peace Science 28 (5).","http://www.icr.ethz.ch/data"
"gdp95_total","Group's contribution to host country's GDP in 1995; derived by GeoEPR/G-Econ overlay. All gross cell product within group polygon is summed.","GECON","G-Econ","v4","Nordhaus et al. (2006)","Nordhaus, W., Azam, Q., Corderi, D., Hood, K., Victor, N. M., Mohammed, M., and Weiss, J. (2006). The G-Econ database on gridded output: methods and data. Yale University, New Haven.","http://gecon.yale.edu"
"gdp95_corr","Group's contribution to host country's GDP in 1995; derived by GeoEPR/G-Econ overlay. Gross cell product intersecting with multiple polygons is divided evenly.","GECON","G-Econ","v4","Nordhaus et al. (2006)","Nordhaus, W., Azam, Q., Corderi, D., Hood, K., Victor, N. M., Mohammed, M., and Weiss, J. (2006). The G-Econ database on gridded output: methods and data. Yale University, New Haven.","http://gecon.yale.edu"
"gdp95_corr","Group's contribution to host country's GDP in 1995; derived by GeoEPR/G-Econ overlay. Gross cell product intersecting with multiple polygons is divided evenly.","GEOEPR","GeoEPR Dataset","v2021","Wucherpfennig et al. (2011)","Wucherpfennig, J., N. B.Weidmann, L. Girardin, L.-E. Cederman, and A. Wimmer (2011). Politically relevant ethnic groups across space and time: Introducing the GeoEPR dataset. Conflict Management and Peace Science 28 (5).","http://www.icr.ethz.ch/data"
"gdp00_total","Group's contribution to host country's GDP in 2000; derived by GeoEPR/G-Econ overlay. All gross cell product within group polygon is summed.","GEOEPR","GeoEPR Dataset","v2021","Wucherpfennig et al. (2011)","Wucherpfennig, J., N. B.Weidmann, L. Girardin, L.-E. Cederman, and A. Wimmer (2011). Politically relevant ethnic groups across space and time: Introducing the GeoEPR dataset. Conflict Management and Peace Science 28 (5).","http://www.icr.ethz.ch/data"
"gdp00_total","Group's contribution to host country's GDP in 2000; derived by GeoEPR/G-Econ overlay. All gross cell product within group polygon is summed.","GECON","G-Econ","v4","Nordhaus et al. (2006)","Nordhaus, W., Azam, Q., Corderi, D., Hood, K., Victor, N. M., Mohammed, M., and Weiss, J. (2006). The G-Econ database on gridded output: methods and data. Yale University, New Haven.","http://gecon.yale.edu"
"gdp00_corr","Group's contribution to host country's GDP in 2000; derived by GeoEPR/G-Econ overlay. Gross cell product intersecting with multiple polygons is divided evenly.","GECON","G-Econ","v4","Nordhaus et al. (2006)","Nordhaus, W., Azam, Q., Corderi, D., Hood, K., Victor, N. M., Mohammed, M., and Weiss, J. (2006). The G-Econ database on gridded output: methods and data. Yale University, New Haven.","http://gecon.yale.edu"
"gdp00_corr","Group's contribution to host country's GDP in 2000; derived by GeoEPR/G-Econ overlay. Gross cell product intersecting with multiple polygons is divided evenly.","GEOEPR","GeoEPR Dataset","v2021","Wucherpfennig et al. (2011)","Wucherpfennig, J., N. B.Weidmann, L. Girardin, L.-E. Cederman, and A. Wimmer (2011). Politically relevant ethnic groups across space and time: Introducing the GeoEPR dataset. Conflict Management and Peace Science 28 (5).","http://www.icr.ethz.ch/data"
"gdp05_total","Group's contribution to host country's GDP in 2005; derived by GeoEPR/G-Econ overlay. All gross cell product within group polygon is summed.","GECON","G-Econ","v4","Nordhaus et al. (2006)","Nordhaus, W., Azam, Q., Corderi, D., Hood, K., Victor, N. M., Mohammed, M., and Weiss, J. (2006). The G-Econ database on gridded output: methods and data. Yale University, New Haven.","http://gecon.yale.edu"
"gdp05_total","Group's contribution to host country's GDP in 2005; derived by GeoEPR/G-Econ overlay. All gross cell product within group polygon is summed.","GEOEPR","GeoEPR Dataset","v2021","Wucherpfennig et al. (2011)","Wucherpfennig, J., N. B.Weidmann, L. Girardin, L.-E. Cederman, and A. Wimmer (2011). Politically relevant ethnic groups across space and time: Introducing the GeoEPR dataset. Conflict Management and Peace Science 28 (5).","http://www.icr.ethz.ch/data"
"gdp05_corr","Group's contribution to host country's GDP in 2005; derived by GeoEPR/G-Econ overlay. Gross cell product intersecting with multiple polygons is divided evenly.","GECON","G-Econ","v4","Nordhaus et al. (2006)","Nordhaus, W., Azam, Q., Corderi, D., Hood, K., Victor, N. M., Mohammed, M., and Weiss, J. (2006). The G-Econ database on gridded output: methods and data. Yale University, New Haven.","http://gecon.yale.edu"
